states,Avg0,frust0
01010101011011101010000011,1.0e-5,0.07
11010001000000000111111111,0.00842,0.02
01110111111011101011011011,0.00016,0.16
01110111111011101011011000,0.0016,0.11
10001000000100111100001001,2.0e-5,0.08
10001000000100011100000000,0.00063,0.04
10001010000100011100001000,8.0e-5,0.06
01110101111011000011110101,7.0e-5,0.06
01110101011011101010011010,2.0e-5,0.09
01110111111011100011111001,0.00114,0.06
01110101011011000011111011,0.00035,0.05
01100100011011000011110011,1.0e-5,0.03
10001000000100111100000011,0.00027,0.08
10001000000100111100001100,0.00018,0.07
10001000000100111100000000,0.00285,0.04
00101100111111111000000101,0.02108,0.05
01110101111011000011111001,0.00083,0.04
01100101111011000011110001,0.00017,0.04
01110111111011101010001010,0.00022,0.11
01110101111011101011001010,0.00012,0.12
11110001101011001011110000,1.0e-5,0.14
01010111011011101011011010,1.0e-5,0.12
10001000000100010100110001,2.0e-5,0.09
10001000000100010100100100,0.00229,0.05
10001000000100010100101100,0.00023,0.06
10000000000001010101100000,1.0e-5,0.07
00001010010100111100001010,1.0e-5,0.08
01110101011011101010001010,1.0e-5,0.07
01110111111011100011111011,0.00019,0.1
01110101111011101011011010,0.00027,0.14
10001000000000010100110101,1.0e-5,0.07
01010101011011000011110010,1.0e-5,0.05
11010011000000000111111011,0.03369,0.03
01110101011011101011011010,0.00011,0.11
01110111011011101010001011,2.0e-5,0.09
10001000000100010100100111,0.00066,0.08
01010101011011101011011010,1.0e-5,0.11
01110101111011101011011000,0.00055,0.1
01110101111011101010010010,7.0e-5,0.11
01110101111011101011000011,4.0e-5,0.12
01110111111011100011111010,0.00011,0.1
01110101111011101011010011,9.0e-5,0.14
00001000000100111100000101,1.0e-5,0.04
01110101111011101011001000,0.00019,0.08
01100101011011101011010010,4.0e-5,0.1
01110101111011000011110000,0.00054,0.04
10000000000001010101100100,1.0e-5,0.07
10001000000100011100001010,0.00011,0.08
01110111111011000011111001,0.00283,0.05
10001010000100010100101100,0.00018,0.06
01110101011011101011000010,4.0e-5,0.08
01100101111011100011110010,1.0e-5,0.09
01110101111011101010001010,9.0e-5,0.1
01110111111011101011001001,7.0e-5,0.1
01110101111011101011010000,0.00037,0.09
